sensor_image,obj_id,obj_pose,pose_id,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6,move_1,move_2,move_3,move_4,move_5,move_6
image_1_0.png,1,"[0, 0, 0, 0, 0, 0]",1,0,1.963457436,1.148933075,0,0,-179.9741386,-4.57559952,-3.963023043,0,0,0,-2.713897586
image_2_0.png,1,"[0, 0, 0, 0, 0, 0]",2,0,-3.712786113,1.181237996,0,0,-179.755073,-0.440365993,-4.291456196,0,0,0,-4.552946938
image_3_0.png,1,"[0, 0, 0, 0, 0, 0]",3,0,1.095845257,1.596415747,0,0,-179.6656726,4.470559317,-4.222830445,0,0,0,-2.571051971
image_4_0.png,1,"[0, 0, 0, 0, 0, 0]",4,0,2.094786665,1.489338741,0,0,-179.6564049,-4.098162949,-0.727763406,0,0,0,2.695449005
image_5_0.png,1,"[0, 0, 0, 0, 0, 0]",5,0,-0.92859943,1.577156051,0,0,-179.6483507,4.627892928,-1.096298886,0,0,0,3.07037382
image_6_0.png,1,"[0, 0, 0, 0, 0, 0]",6,0,0.220720581,1.499992769,0,0,-179.5278513,-0.940310072,4.8620015,0,0,0,4.411211219
image_7_0.png,1,"[0, 0, 0, 0, 0, 0]",7,0,-4.43130795,1.604572511,0,0,-179.4557643,0.686777419,4.39964916,0,0,0,4.108256568
image_8_0.png,1,"[0, 0, 0, 0, 0, 0]",8,0,4.87870501,1.947038751,0,0,-179.4395872,4.697246075,-4.829653509,0,0,0,2.068089358
image_9_0.png,1,"[0, 0, 0, 0, 0, 0]",9,0,0.394383736,1.918340428,0,0,-179.3040227,-1.322423335,4.099537254,0,0,0,-2.142087869
image_10_0.png,1,"[0, 0, 0, 0, 0, 0]",10,0,4.79564723,1.106096614,0,0,-179.1968175,-0.256220842,-2.658440552,0,0,0,-3.859910349
image_11_0.png,1,"[0, 0, 0, 0, 0, 0]",11,0,2.78145293,1.271323368,0,0,-179.170271,0.569702642,-1.987688584,0,0,0,-0.500015081
image_12_0.png,1,"[0, 0, 0, 0, 0, 0]",12,0,4.828187786,1.136598359,0,0,-179.0788235,-1.595732901,3.971555169,0,0,0,2.575418525
