sensor_image,obj_id,obj_pose,pose_id,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6,move_1,move_2,move_3,move_4,move_5,move_6
image_1.png,1,"[0, 0, 0, 0, 0, 0]",1,0.0,-0.34119279138113656,3.7882754763577657,-1.9820489006900104,15.617596604111704,-179.96880303372058,0.0,0.0,0.0,0.0,0.0,0.0
image_2.png,1,"[0, 0, 0, 0, 0, 0]",2,0.0,1.1267522744028087,3.557645511552284,9.104953942361796,-16.398736994654357,-179.88587547742924,0.0,0.0,0.0,0.0,0.0,0.0
image_3.png,1,"[0, 0, 0, 0, 0, 0]",3,0.0,2.6194985888717586,3.971683216693089,-2.2580039163215737,-3.108875930289024,-179.86864465690923,0.0,0.0,0.0,0.0,0.0,0.0
image_4.png,1,"[0, 0, 0, 0, 0, 0]",4,0.0,2.0084485616663184,2.7813696397862517,9.124254293016168,9.203940539635148,-179.7260028777492,0.0,0.0,0.0,0.0,0.0,0.0
image_5.png,1,"[0, 0, 0, 0, 0, 0]",5,0.0,1.6068615527685184,4.2373947126198,4.532519418310269,-0.8838925639491251,-179.72221967411528,0.0,0.0,0.0,0.0,0.0,0.0
image_6.png,1,"[0, 0, 0, 0, 0, 0]",6,0.0,-2.8485819034649422,5.432261056756799,9.996835803425903,-13.188218482440224,-179.70216865706297,0.0,0.0,0.0,0.0,0.0,0.0
image_7.png,1,"[0, 0, 0, 0, 0, 0]",7,0.0,-2.4625114868980487,3.3651435431450634,1.6325622745493646,-6.015751102987519,-179.6474086954586,0.0,0.0,0.0,0.0,0.0,0.0
image_8.png,1,"[0, 0, 0, 0, 0, 0]",8,0.0,1.0530678977404575,4.82178489342605,-18.673921716132,18.329644636033848,-179.5716066992395,0.0,0.0,0.0,0.0,0.0,0.0
image_9.png,1,"[0, 0, 0, 0, 0, 0]",9,0.0,-0.8748877007584683,5.434279793165221,-5.078605373532712,-15.329413103872888,-179.25521520930928,0.0,0.0,0.0,0.0,0.0,0.0
image_10.png,1,"[0, 0, 0, 0, 0, 0]",10,0.0,1.3598419863935804,3.916567748700073,-9.1000906753308,1.7472544404843617,-179.22471619438724,0.0,0.0,0.0,0.0,0.0,0.0
image_11.png,1,"[0, 0, 0, 0, 0, 0]",11,0.0,-2.19580800295848,4.330044078208179,1.2181304623860427,-15.331495640481062,-179.15319580575405,0.0,0.0,0.0,0.0,0.0,0.0
image_12.png,1,"[0, 0, 0, 0, 0, 0]",12,0.0,-1.9578605954434924,2.364579125938973,10.536704585021127,-11.007902268725122,-179.1056948952195,0.0,0.0,0.0,0.0,0.0,0.0
image_13.png,1,"[0, 0, 0, 0, 0, 0]",13,0.0,1.2131452905826237,4.160947147927828,12.553586823622354,-3.71297306565576,-179.06993281981656,0.0,0.0,0.0,0.0,0.0,0.0
image_14.png,1,"[0, 0, 0, 0, 0, 0]",14,0.0,-0.2905087571910623,4.790667536480521,13.687526972238985,7.4295918772018865,-179.06660558908632,0.0,0.0,0.0,0.0,0.0,0.0
image_15.png,1,"[0, 0, 0, 0, 0, 0]",15,0.0,-2.141191376149716,3.9009342787144288,2.267452159273212,-2.7201538511677015,-179.0231433836251,0.0,0.0,0.0,0.0,0.0,0.0
image_16.png,1,"[0, 0, 0, 0, 0, 0]",16,0.0,-2.6011504023017373,2.198939997509776,-8.092167461623308,-8.230539149729484,-178.99148897375184,0.0,0.0,0.0,0.0,0.0,0.0
image_17.png,1,"[0, 0, 0, 0, 0, 0]",17,0.0,0.061345078085063065,5.1033517250216,14.77755507046102,4.888058928138257,-178.9251457978027,0.0,0.0,0.0,0.0,0.0,0.0
image_18.png,1,"[0, 0, 0, 0, 0, 0]",18,0.0,-2.4003623276229504,5.109608476680467,3.056882859927299,-18.154888913649824,-178.91328062945797,0.0,0.0,0.0,0.0,0.0,0.0
image_19.png,1,"[0, 0, 0, 0, 0, 0]",19,0.0,1.3523588030057532,5.268667757422252,17.728934716927412,10.854852886218058,-178.83391716302305,0.0,0.0,0.0,0.0,0.0,0.0
image_20.png,1,"[0, 0, 0, 0, 0, 0]",20,0.0,-1.5202056870126652,4.4592550726902545,8.140007445991237,-18.860993576826417,-178.7976187788606,0.0,0.0,0.0,0.0,0.0,0.0
image_21.png,1,"[0, 0, 0, 0, 0, 0]",21,0.0,-0.9852234790359589,5.4657866536173465,-8.725128310409875,11.56641374303305,-178.75368822210245,0.0,0.0,0.0,0.0,0.0,0.0
